ID,Name,Data_Source,Distance_to_Polygon,Inside_Buffer (File Read (Task 1)),Radius_Dist
176,Point_176,Radius Search Result,84.44,Yes,1213.85
177,Point_177,Radius Search Result,56.29,Yes,1216.93
178,Point_178,Radius Search Result,56.57,Yes,1218.05
179,Point_179,Radius Search Result,66.24,Yes,1224.24
180,Point_180,Radius Search Result,65.46,Yes,1227.17
181,Point_181,Radius Search Result,21.49,Yes,1229.23
182,Point_182,Radius Search Result,0.0,Yes,1229.24
183,Point_183,Radius Search Result,118.53,Yes,1231.74
184,Point_184,Radius Search Result,0.0,Yes,1236.22
185,Point_185,Radius Search Result,0.0,Yes,1242.08
186,Point_186,Radius Search Result,106.17,Yes,1243.63
187,Point_187,Radius Search Result,0.0,Yes,1250.62
188,Point_188,Radius Search Result,0.0,Yes,1250.8
189,Point_189,Radius Search Result,0.0,Yes,1251.12
190,Point_190,Radius Search Result,49.38,Yes,1252.68
191,Point_191,Radius Search Result,156.86,Yes,1254.87
192,Point_192,Radius Search Result,0.0,Yes,1259.73
193,Point_193,Radius Search Result,0.0,Yes,1263.04
194,Point_194,Radius Search Result,150.12,Yes,1270.52
195,Point_195,Radius Search Result,138.47,Yes,1270.62
196,Point_196,Radius Search Result,0.0,Yes,1275.98
197,Point_197,Radius Search Result,166.85,Yes,1276.05
198,Point_198,Radius Search Result,147.57,Yes,1288.9
199,Point_199,Radius Search Result,170.75,Yes,1289.83
200,Point_200,Radius Search Result,171.1,Yes,1297.55
201,Point_201,Radius Search Result,187.32,Yes,1297.96
202,Point_202,Radius Search Result,194.0,Yes,1303.8
203,Point_203,Radius Search Result,0.0,Yes,1307.33
204,Point_204,Radius Search Result,76.6,Yes,1307.94
205,Point_205,Radius Search Result,185.75,Yes,1325.64
206,Point_206,Radius Search Result,235.67,Yes,1327.0
207,Point_207,Radius Search Result,57.31,Yes,1334.12
208,Point_208,Radius Search Result,176.5,Yes,1334.31
209,Point_209,Radius Search Result,246.8,Yes,1339.15
210,Point_210,Radius Search Result,220.36,Yes,1339.76
211,Point_211,Radius Search Result,0.0,Yes,1341.08
212,Point_212,Radius Search Result,77.03,Yes,1342.81
213,Point_213,Radius Search Result,0.0,Yes,1345.53
214,Point_214,Radius Search Result,171.48,Yes,1347.24
215,Point_215,Radius Search Result,187.96,Yes,1349.67
216,Point_216,Radius Search Result,191.62,Yes,1350.65
217,Point_217,Radius Search Result,205.19,Yes,1357.27
218,Point_218,Radius Search Result,211.59,Yes,1358.56
219,Point_219,Radius Search Result,270.8,Yes,1364.63
220,Point_220,Radius Search Result,279.14,Yes,1370.33
221,Point_221,Radius Search Result,0.0,Yes,1370.89
222,Point_222,Radius Search Result,267.66,Yes,1371.54
223,Point_223,Radius Search Result,5.99,Yes,1373.47
224,Point_224,Radius Search Result,261.98,Yes,1375.2
225,Point_225,Radius Search Result,19.58,Yes,1379.47
226,Point_226,Radius Search Result,104.25,Yes,1387.05
227,Point_227,Radius Search Result,258.79,Yes,1387.08
228,Point_228,Radius Search Result,0.0,Yes,1390.59
229,Point_229,Radius Search Result,276.05,Yes,1393.62
230,Point_230,Radius Search Result,303.81,Yes,1401.27
231,Point_231,Radius Search Result,181.56,Yes,1405.93
232,Point_232,Radius Search Result,132.03,Yes,1409.98
233,Point_233,Radius Search Result,52.31,Yes,1412.59
234,Point_234,Radius Search Result,0.0,Yes,1418.88
235,Point_235,Radius Search Result,105.47,Yes,1420.82
236,Point_236,Radius Search Result,242.72,Yes,1423.17
237,Point_237,Radius Search Result,56.12,Yes,1423.22
238,Point_238,Radius Search Result,312.82,Yes,1426.34
239,Point_239,Radius Search Result,142.54,Yes,1426.6
240,Point_240,Radius Search Result,0.0,Yes,1426.8
241,Point_241,Radius Search Result,0.0,Yes,1427.11
242,Point_242,Radius Search Result,315.94,Yes,1429.55
243,Point_243,Radius Search Result,0.0,Yes,1429.57
244,Point_244,Radius Search Result,289.68,Yes,1430.77
245,Point_245,Radius Search Result,0.0,Yes,1449.86
246,Point_246,Radius Search Result,257.43,Yes,1450.76
247,Point_247,Radius Search Result,339.83,Yes,1454.64
248,Point_248,Radius Search Result,27.55,Yes,1456.13
249,Point_249,Radius Search Result,343.02,Yes,1464.68
250,Point_250,Radius Search Result,259.96,Yes,1465.9
251,Point_251,Radius Search Result,285.65,Yes,1468.37
252,Point_252,Radius Search Result,252.53,Yes,1468.62
253,Point_253,Radius Search Result,357.31,Yes,1470.77
254,Point_254,Radius Search Result,302.81,Yes,1472.95
255,Point_255,Radius Search Result,53.85,Yes,1474.4
256,Point_256,Radius Search Result,339.54,Yes,1474.65
257,Point_257,Radius Search Result,190.24,Yes,1479.44
258,Point_258,Radius Search Result,383.89,Yes,1481.8
259,Point_259,Radius Search Result,392.36,Yes,1485.26
260,Point_260,Radius Search Result,268.89,Yes,1487.85
261,Point_261,Radius Search Result,333.66,Yes,1488.65
262,Point_262,Radius Search Result,227.08,Yes,1489.52
263,Point_263,Radius Search Result,89.96,Yes,1490.43
264,Point_264,Radius Search Result,103.39,Yes,1495.77
265,Point_265,Radius Search Result,40.55,Yes,1496.62
266,Point_266,Radius Search Result,84.04,Yes,1496.82
267,Point_267,Radius Search Result,193.39,Yes,1497.46
268,Point_268,Radius Search Result,370.5,Yes,1499.27
269,Point_269,Radius Search Result,333.9,Yes,1499.92
270,Point_270,Radius Search Result,207.83,Yes,1501.33
271,Point_271,Radius Search Result,252.09,Yes,1502.12
272,Point_272,Radius Search Result,392.6,Yes,1514.09
273,Point_273,Radius Search Result,79.91,Yes,1515.37
274,Point_274,Radius Search Result,272.3,Yes,1518.57
275,Point_275,Radius Search Result,426.97,Yes,1518.74
276,Point_276,Radius Search Result,2.38,Yes,1521.29
277,Point_277,Radius Search Result,222.5,Yes,1524.98
278,Point_278,Radius Search Result,269.82,Yes,1526.75
279,Point_279,Radius Search Result,96.81,Yes,1531.27
280,Point_280,Radius Search Result,347.89,Yes,1532.56
281,Point_281,Radius Search Result,421.78,Yes,1535.64
282,Point_282,Radius Search Result,81.27,Yes,1535.9
283,Point_283,Radius Search Result,226.43,Yes,1537.76
284,Point_284,Radius Search Result,122.7,Yes,1538.13
285,Point_285,Radius Search Result,421.2,Yes,1538.62
286,Point_286,Radius Search Result,206.41,Yes,1541.71
287,Point_287,Radius Search Result,21.77,Yes,1542.03
288,Point_288,Radius Search Result,112.56,Yes,1542.36
289,Point_289,Radius Search Result,151.33,Yes,1543.0
290,Point_290,Radius Search Result,168.95,Yes,1543.19
291,Point_291,Radius Search Result,397.58,Yes,1543.29
292,Point_292,Radius Search Result,35.33,Yes,1545.89
293,Point_293,Radius Search Result,402.46,Yes,1546.55
294,Point_294,Radius Search Result,363.48,Yes,1546.6
295,Point_295,Radius Search Result,452.88,Yes,1547.76
296,Point_296,Radius Search Result,63.97,Yes,1550.95
297,Point_297,Radius Search Result,9.49,Yes,1552.58
298,Point_298,Radius Search Result,424.83,Yes,1554.51
299,Point_299,Radius Search Result,172.16,Yes,1555.95
300,Point_300,Radius Search Result,76.64,Yes,1557.37
301,Point_301,Radius Search Result,164.56,Yes,1557.54
302,Point_302,Radius Search Result,406.47,Yes,1559.73
303,Point_303,Radius Search Result,469.55,Yes,1563.8
304,Point_304,Radius Search Result,68.37,Yes,1565.16
305,Point_305,Radius Search Result,459.65,Yes,1573.55
306,Point_306,Radius Search Result,364.47,Yes,1573.95
307,Point_307,Radius Search Result,470.94,Yes,1578.43
308,Point_308,Radius Search Result,413.33,Yes,1578.91
309,Point_309,Radius Search Result,431.98,Yes,1579.58
310,Point_310,Radius Search Result,487.89,Yes,1581.41
311,Point_311,Radius Search Result,428.18,Yes,1581.68
312,Point_312,Radius Search Result,96.11,Yes,1591.62
313,Point_313,Radius Search Result,202.59,Yes,1592.4
314,Point_314,Radius Search Result,292.38,Yes,1593.0
315,Point_315,Radius Search Result,176.87,Yes,1597.02
316,Point_316,Radius Search Result,214.62,Yes,1598.31
317,Point_317,Radius Search Result,426.49,Yes,1598.84
318,Point_318,Radius Search Result,500.85,No,1600.61
319,Point_319,Radius Search Result,302.76,Yes,1601.47
320,Point_320,Radius Search Result,232.82,Yes,1608.2
321,Point_321,Radius Search Result,214.16,Yes,1620.64
322,Point_322,Radius Search Result,499.79,Yes,1620.96
323,Point_323,Radius Search Result,491.29,Yes,1624.38
324,Point_324,Radius Search Result,256.1,Yes,1625.33
325,Point_325,Radius Search Result,137.58,Yes,1626.9
326,Point_326,Radius Search Result,500.15,No,1631.29
327,Point_327,Radius Search Result,351.57,Yes,1634.11
328,Point_328,Radius Search Result,364.32,Yes,1636.08
329,Point_329,Radius Search Result,391.11,Yes,1637.95
330,Point_330,Radius Search Result,501.02,No,1638.45
331,Point_331,Radius Search Result,505.89,No,1640.84
332,Point_332,Radius Search Result,533.6,No,1642.31
333,Point_333,Radius Search Result,433.7,Yes,1642.67
334,Point_334,Radius Search Result,269.11,Yes,1643.03
335,Point_335,Radius Search Result,420.39,Yes,1643.09
336,Point_336,Radius Search Result,256.48,Yes,1646.2
337,Point_337,Radius Search Result,337.96,Yes,1647.11
338,Point_338,Radius Search Result,414.33,Yes,1651.18
339,Point_339,Radius Search Result,366.35,Yes,1655.19
340,Point_340,Radius Search Result,516.23,No,1655.4
341,Point_341,Radius Search Result,525.62,No,1659.25
342,Point_342,Radius Search Result,570.08,No,1661.59
343,Point_343,Radius Search Result,415.31,Yes,1661.66
344,Point_344,Radius Search Result,165.73,Yes,1663.33
345,Point_345,Radius Search Result,574.22,No,1665.23
346,Point_346,Radius Search Result,504.26,No,1670.72
347,Point_347,Radius Search Result,191.44,Yes,1670.74
348,Point_348,Radius Search Result,363.97,Yes,1675.99
349,Point_349,Radius Search Result,168.72,Yes,1677.46
350,Point_350,Radius Search Result,458.81,Yes,1681.74
351,Point_351,Radius Search Result,584.65,No,1683.95
352,Point_352,Radius Search Result,335.91,Yes,1688.69
